Company	Revenue	NumberEmployees	NumberTractors	NumberTruckVans	NumberTrailers	SCAC	Year
AAA Cooper Transportation	420000	4200	2350	85	6250	AACT	2009
AAA Cooper Transportation	522000	4350	5115	80	6526	AACT	2011
AAA Cooper Transportation	553408	4500	1342	65	6000	AACT	2012
AAA Cooper Transportation	580372	4500	2450		6000	AACT	2013
AAA Cooper Transportation	580372	4500	2450		6000	AACT	2014
AAA Cooper Transportation	605538	4600	2400		6000	AACT	2017
AAA Cooper Transportation	665000	5000	3000		6500	AACT	2018
UniGroup Inc.	1600000	1050	6401	4343	10615	AERM	2009
UniGroup Inc.	1520000	800	6204	4650	10400	AERM	2010
UniGroup Inc.	1580000	900	5904	4810	10100	AERM	2011
UniGroup Inc.	1613124	980	6260	4415	9950	AERM	2012
UniGroup Inc.	1700000	1050	6301	4500	10000	AERM	2013
UniGroup Inc.	1700000	1150	5001	3700	500	AERM	2014
UniGroup Inc.	1700000					AERM	2017
UniGroup Inc.	1700000					AERM	2018
Arpin Group	169493	270	68	24	90	AIGP	2009
Atlas World Group	715000	350	2321	1670	4218	ALQK	2009
Atlas World Group	759998	636	2206	1612	4063	ALQK	2010
Atlas World Group	808935	642	2153	1576	4014	ALQK	2011
Atlas World Group	815518	405	2178	1562	3391	ALQK	2012
Atlas World Group	844827	700	2140	1551	3922	ALQK	2013
Atlas World Group	878313	644	2086	784	4012	ALQK	2014
Atlas World Group	795239		2159			ALQK	2017
Atlas World Group	842100	671	1271		4076	ALQK	2018
Anderson Trucking Service	569692	1150	1900	0	5500	ANNN	2009
Anderson Trucking Service	611521	1050	1750	0	5000	ANNN	2010
Anderson Trucking Service	762143	1150	2054	0	5300	ANNN	2011
Anderson Trucking Service	927406	1250	2209	0	5400	ANNN	2012
Anderson Trucking Service	750204	1300	2205		5300	ANNN	2013
Anderson Trucking Service	873432	1389	2519		6127	ANNN	2014
Anderson Trucking Service	1032144	1410	2372		6300	ANNN	2017
Anderson Trucking Service	1004301	1996	2652		6958	ANNN	2018
A&R Logistics	185000	988	705	0	1774	ANRI	2009
A&R Logistics	212000	960	730	1	1800	ANRI	2010
A&R Logistics	214000	1000	730	0	1100	ANRI	2011
A&R Logistics	235000	1100	825	0	0	ANRI	2012
A&R Logistics	220000	1000	725		50	ANRI	2013
A&R Logistics	222000	1100	750		1400	ANRI	2014
