1st Choice Logistics LLC	FCOS
3 Rivers Logistics, Inc	TVQI
A & Z Trucking, Inc.	AZTD
A&R Global Logistics	AMLQ
A.M.Transport Services, Inc.	AMNO
Ace Logistics, Inc.	ACEI
Adams Third Wave Logistics LLC: Freight Broker	AHWE
Addison Transportation	AFDN
ADM Logistics, Inc.	ADOS
Advanced Transportation Services, Inc.	AVDR
Aeronet Worldwide: supply chain solutions	AERG,AERN
AFN, LLC	AFNW
Agmark Logistics, LLC	AKFO
Airways Freight Corp.: AFRG	AFRG
AIT Worldwide Logistics, Inc.	AIIH
Alam Group LLC: Motor Freight Logistics	MFAV
ALG Worldwide Logistics, LLC: ALG Worldwide - ALG Direct Division	AGPN
All American Logistics, LLC	AAL
Allen Lund Company, LLC	LUAC
Alliance Shippers Inc.	ANSH
Allstates WorldCargo	ASAQ
Alpha Logistics Service	ALFM
AMAC Logistics, LLC	ALOE
American Domestic Cargo Services	ADCS
American Freight Carrier Services, Inc.	AEFC
American Logistical Freight Brokers	N/A
American Transport Group, LLC	AMTG
American Transportation Systems, INC: Broker	ATYS
Amino Transport, Inc	ANTC
AMX Logistics: Logistics Division	AMXA
APL Logistics: AUTO	APDD
APL Logistics: HTS	APTB
APL Logistics: ILS	N/A
APL Logistics: IMS	APDD
APL Logistics: MTS	APGF
Approved Freight Management inc.	ACTC
Ardmore Power Logistics	N/A
ARI Logistics, LLC	ARQL
Armada	LEPV
Armstrong Transport Group, Inc.	ATIE
ARPCO Transport Services: Logistics Brokerage	AAEG
Arpin International Group, Inc.	N/A
Arrive Logistics: ARVY	ARVY
Arrow Lines Transport	ARRL
ArrowStream, Inc	AWAD
Arven Services LLC: Logistics Division	AEKA
Aspen Transportation LLC	ASPR
Aspirations Inc	APIR
Asset Based Intermodal	ASBI
Associated Freight Brokers, Inc.	AFBS
Associated Global Systems, Inc.	ASAF,ASGY
Atech Logistics, Inc.	APKI
Atlantic Logistics, Inc.	AQGC
Atlantic-Pacific Express, Inc.	APEN
Atomic Transport, LLC	ATYL
Audit Logistics LLC	N/A
AV Logistics, LLC	AVOG
Avery Trucking Co Inc	AVYT
Axiom Logistics, LLC	AXMC
Axle Logistics, LLC	AXLL
B&H Freight, Inc	BHFR
B.E.S.T. Inc. dba Go Best Logistics	GBLW
Backhaul Direct, LLC	BHDR,BHDS
Badger Refrigerated Express, Inc.	BXGI
Barefoot Express Inc	BFXP
Barton Logistics LLC	BNBH
Bay Logistics Services, LLC	BYLV
Bear Transportation Services, LP	BTAG
Becker Logistics Inc	BKLI
Bedrock Freight Brokerage, LLC	BRFK
Beltmann Integrated Logistics: BMGI	BMGI
Bennett International Logistics: BIL	BNSS
Best Logistics, Inc: BLOD	BLOD
Best Shipping Ever, Inc.: BSE Logistics	BSEW
Bett-A-Way Traffic Systems, Inc.	BAWB
Bexar Tranportation LLC	BEXG
Big Dog Logistics LLP: Logistics Business Unit	BDLO
Blackjack Express, Inc.	BEXA
Blakeman Transportation Inc: Freight Broker	BKMP
Blue Chip Logistics Inc.: Blue Chip Logistics Inc.	BCLG
Blue Line Logistics, Inc.	BLNJ
Blue Ribbon Transport, Inc.	BRBT
BM2 Freight Services, Inc.: BM2 Main	BFSJ
BNSF Logistics,LLC	BNLS,BNLF,BNLR,BNLG,BNFV,BNLH
Bolding's Enterprises LLC	BELO
Bolt Logistics	BOLT
Border Group Logistics, Inc	BPBS
Bounce Logistics, Inc.	BLJH
Bramel Trucking: Refrigerated	BMER
Brenny Transportation, Inc	BQRE
Bridge Logistics inc: BRLO	BRLO
Bridger Transportation LLC	BTLB
Britus Transportation Services, Inc.: BTVI	BTVI
BT Spencer Transport, LLC	SPBL
BTX Global Logistics	BTXE
Business to Business Logistics, LLC	BTBB
Business Transportation Solutions, Inc.	BTBJ
BX Solutions	BXSI
C&L Logistics	CLNQ
C. H. Robinson Worldwide, Inc.	RBTW
C. L. Services, Inc.	CVQC
Cagney Global Logistics, Inc.	CGLL
California Freight	CFSA
CAM Logistics LLC: Cam Logistics LLC	CMGG
Capstone Logistic Services, LLC	CLVL
Cargo Logistics Group, Inc.	CGLG
CargoBarn Inc.: MC 675107	CGBI
Carrier Services Group, LLC	CSVP
Carrier Services of Tn., Inc.	CSVT
CaseStack	CKCO
CB Transportation Inc	N/A
CDL Logistics, LLC	CDGY
CEI Logistics	CUEH
Celtic International LLC	CELC
Central Freight Management LLC	CFMH
CEVA Ground US, LP	CEVE
Champagne Logistics	VSTQ
Chariot Logsitics Inc	CHQA
ChemLogix, LLC: Logistics Services	CHXC
Choptank Transport, Inc.	CKTH
CHTL Logistics LLC	CHTL
Clark Group, Inc.	N/A
ClearPointt Logistics LLC	PCOF
Command Transportation	CMMS
Commodity Distribution, Inc.: Broker	CDIF
Complete Logistic Services	CPGO
Con-Way Multimodal : Con-Way Multimodal Freight Broker	N/A
Conexus, LLC	CXSD
Connect Logistics, Inc.	CLHY
Corbett Farming Company	CFCW,CFCK
Cornerstone Logistics LP	CLQI
Cornerstone Systems, Inc.: Cornerstone Systems, Inc.	CSNY
Corporate Traffic, Inc.	CRPE
CorTrans Logistics, LLC	CQRG,CFVR,COOG,CLQH,CTLS
Covenant Transport Solutions, Inc.: CVTH	CVTH
Cowboy USA LLC	CWBL
Coyote Logistics, LLC	CLLQ
Crane Worldwide Logistics	CNCQ
Cross Point Expedite Logistics, LLC: South Texas Logistics Division	CPEV
Crowley Logistics: Logistics Division	CYLI
CTI Logistics, Inc	CTIS
D&D Logistics, LLC	DDLT
Damco Distribution Services, Inc. DBA. Hudd Transp	HDDR
Dana Transportation Inc	DNAR
Dart Advantage Logistics: Complete	ADTS
Dawn Transportation, Inc	DWNT
Daylight Transport, LLC	DYLT
DB Schenker Of Canada	XXXX
Dedicated Logistical Serivce, Inc.: DLGI	DLGI
Deluxe Delivery Systems, Inc.: Logistics	DDMT
Dependable Transportation, Inc. : Dependable Transportation, Inc.	DPXI
Destin Logistics LLC	DLLS
DEW Distribution Services, Inc.	DEWD
DHL Global Forwarding	DMAL
DHL Global Mail	DHGM
Diel Jerue Logistics, Inc.	DJLC
Direct Connect Logistix, Inc.	DCLK
Diverse Logistics and Transportation, Inc	DLBV
Dream Catcher Logistics LLC	DCEG
DRT Transportation LLC	DTCV,DRBV
DSC Logistics	DRSC
DSG Logistics LLC	DSGW
DSX Worldwide	N/A
DTI, Inc.	DTIC
Dunavant Logistics Group, LLC: DLGC	DLGC
Dynamex Operations West	DYXW
EA Logistics: Freight Forwarder	ELOA
Echo Global Logistics	ECHS
Edge Logistics LLC	EDGF
Elite Transit Solutions, LLC	ETSJ
ELITeXPO	N/A
Empire Express Transport LLC	EETN
England Logistics, Inc.: 3PL: 3PL	EQLC
EPES Logistics Services, Inc.: EPSG	EPSG
Estes Forwarding Worldwide, LLC	EFWW,EFSD,EFWE,EFTL
Evans Transportation Services, Inc	EVTW
EveryPoint Logistics Solutions Inc.	EVPG
Exel, Inc,: Managed Transportation	EXLF
Expeditors International of Washington, Inc.	EXDO
Express Cargo Inc	ECIC
Express Logistics, LLC	EXSL
Express Transport America Logistics	EXTO
Extra Mile Transportation	EMTA
Exxact Express Inc.: EXXA	EXXA
F.B.T. Inc.	FBLT
FAC Logistics, Inc.	FTAG
Fairrington Transportation Corp.	FRGN
FAK 3PL: FAK 3PL	FKDN
Fastmore Logistics LLC	FLLW
FedEx Truckload Brokerage Inc.	FDTB
Fetch Logistics, Inc.: Flatbed	FTHG
Fetch Logistics, Inc.: Rail/Intermodal	FTHG
Fetch Logistics, Inc.: Refrigerated	FTHG
Fetch Logistics, Inc.: T/L Van	FTHG
FHI Logistics, LLC.	FHAN
Fitzmark, Inc.: 3PL	FZMK
Flat World Supply Chain LLC	N/A
FLS transportation Services	FLSJ
Foreway Management Services	FWMR
Fortus Group Inc.: Logistics	FGRC
Fortus Group Inc.: Transportation	N/A
Fox Logistics	FXLG
Freeman	FMNP
freight agency inc	FAIB
Freight Fox Inc.	FFXC
Frontline Freight, Inc.	FCSY
Frost Tansportation, Inc	FRST
Fuel Transport: Logistics	FUEQ
Fulmer Logistics Services, Inc.	FLSI
Future Logistics, Inc.	FMFI
Garner Enterprises: Logistics	GRNQ
Gateway Freight Systems Inc.: 273980	N/A
GENCO Transportation Management, LLC.	GNAK
Gene Hyde Logistics Inc:	HYDL
Genrpo, Inc.	GENN
Geodis Global Solutions, USA Inc, Geodis Supply Ch: 30209122	N/A
GHC Services, Inc.	GHAT
Gin's Brokerage, Inc.	N/A
GIX Logistics, Inc.	GIXP
Glen Rose Transportation Management Inc.	GRSB
Global Transport Logistics, Inc	GLBL
GLOBALTRANSSERVICE Corp.	GTVP
GlobalTranz Enterprises, Inc.	GELJ
Gold Transportation Services	N/A
Great Northern Trans-Port Inc.	GNNS
Gregory Truck Brokerage, LLC: Freight Brokerage	GRFH
Groshell Transportation Services, Inc: GROK	GROK
Groshell Transportation Services, Inc: GROT	GROT
Ground Freight Expeditors LLC.: GFE	GFXP
GSA - Freight Transportation Management	N/A
GTD Logistics	GTDG
GTO 2000, Inc.	GTOT
Guide Global Logistics LLC: Guide Global Logistics LLC	GGGL
Guided Logistics	GLOP
H & N Logistics LLC	HICS
H & S Transportation, Inc.: Transportation Broker	HSRA
H & W Transportation Logistics, LLC	HWTT
H C Schmieding Produce CO, LLC	SHMC
H&M Bay, Inc.	HMBY
Hannic Inc.	HNNC
harte hanks logistics	HHTK
Hassett Express, LLC: Hassett Express, LLC	HAXS
Hawkeye Transportation Services, Inc.	HKYE
HG Logistics LLC: HG Logistics LLC	HGLB
Hickory Transportation Services	HYXS
Highland Transportation Group, LLC: Logistics	HLDA
Holland Transportation Management Services, Inc.	HTMS
Honolulu Freight Service: Guam Freight Service	GUAA
Honolulu Freight Service: Honolulu Freight Service	HLFS
Hospitality Logistics International	HLIE
Hub Group: Highway	HUBG,HHWY
Hub Group: Unyson	UNYS
Hybrid Transit Systems, Inc: 534198B	HYAT
Hyperlogistics Group: Transport Network, LLC	N/A
ICAT Logistics, Inc	ICAO
IDS Transportation Services, LLC	IDSS
IGH Logistics Group Inc	ILGM
IMD Transportation	IMDT
Infinity Transportation Logistics, LLC	INYU
Innovative Logistics Services Inc.	INNL
Integra Logistics Services, LLC:	ILSV
