SCAC	MCN	g.mile.CO2	g.mile.NOx	g.mile.PM
AACT	MC55889	1550	6.8	0.3
AERM	MC004358	2460	28.5	1.275
ALQK	MC370661	1670	14	0.3905
ANNN	MC184643	1840	5.8	0.055
ANRI	MC140820	2125	5.75	0.22
ANTT	MC149541	1640	3.4	0.006
ATEQ	MC120675	1570	11	0.3905
ATGL	MC340975	1600	9.05	0.195
AVRT	MC121600	1600	1.55	0.085
"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	MC247466	1750	7.1	0.195
BCFG	MCN/A	1970	5	0.0965
BGME	MC129712	1670	5	0.0965
BIOS	MCN/A	1480	0.9	0.026
BRWH	MC079648	1540	4.6	0.085
CACG	MC551530	1900	6.55	0.195
CASF	MCN/A	1957.5	14.45	0.45
CCXP	MC254964	1565	16.5	0.73
CENT	MC030867	1450	5	0.06
CGFR	MC307437	1600	1.55	0.015
CHWK	MC308012	1480	3.4	0.086
CJHT	MC192518	1740	3.4	0.085
CNWY	MC165377	1550	5	0.14
COOJ	MC071902	2182.5	14.45	0.45
CRCR	MC126118	1480	3.4	0.006
CRFR	MC159643	1500	1.55	0.015
CTII	MC302382	1750	3.2	0.06
CVTH	MC345803	2250	18.5	0.775
CWAS	MC271882	1560	0.9	0.006
DAFG	MC189528	1650	5	0.14
"DART,DARN,DARD"	MC114457	1560	3.4	0.026
DMAL	MC193047	1620	8.5	0.275
DPXI	MC694062	2250	23.5	1.025
DYNS	MC194705	1670	14	0.5375
DYXW	MC298399	1620	8.5	0.275
ELGS	MC145300	1480	0.9	0.006
EMSY	MC215572	1750	1.4	0.06
ENGI	MC124679	1225	18.5	0.5
EPES	MC44128	1480	3.4	0.046
EVTW	MC179512	2040	18.5	0.775
EXLA	MC097275	1600	6.55	0.195
EXTO	MC838690	2250	23.5	1.025
FAFN	MC333604	1600	6.55	0.195
FCNW	MC880886	1640	4.6	0.115
FOLW	MC163711	1550	3.9	0.055
FRZF	MC108207	1540	4.6	0.115
GOGI	MC163581	1750	1.4	0.06
GORK	MC152187	1640	0.9	0.026
HAEI	MC115554	1480	3.4	0.006
HIRS	MC4208832	1540	2.2	0.055
"HUBG,HHWY"	MC507885	2040	18.5	0.775
IDCD	MC117201	1480	3.4	0.026
KLMI	MC138308	1887.5	3.25	0.041
"KNIG,KTMW,KNBK,KNIB,KNIM,KTPS"	MCN/A	1480	3.4	0.006
LRGR	MC206847	2460	28.5	1.275
LTIA	MC65802	1570	5	0.2435
MAVK	MC436281	1570	2	0.0115
MCET	MC143059	1670	11	0.2435
MLXP	MC121649	1560	0.9	0.026
MRLC	MC160108	1480	3.4	0.026
MSLV	MC186190	1480	0.9	0.026
MTEN	MC103798	1675	15.5	0.44
MTLA	MC100666	1670	2	0.0115
MULM	MCN/A	1800	3.4	0.046
NAVE	MC157626	1540	2.2	0.055
"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	MC1486168	1480	0.9	0.026
ODFL	MC107478	1450	3.2	0.14
PAMT	MC150496	1480	0.9	0.006
PASC	MC111485	1560	0.9	0.026
PITD	MC30136	1550	3.2	0.06
PSKL	MC143308	1830	13.5	0.525
PTWT	MC257496	1500	4.05	0.085
PYLE	MC031941	1650	5	0.14
QPMT	MC135797	1075	16.5	0.44
QTKI	MC305140	1887.5	10.15	0.191
RDFS	MC170247	1830	13.5	0.525
RDLK	MC810939	1655	16.5	0.53
RDWY	MC071821	1675	15.5	0.46
"RLCF,RUAN"	MC107496	1600	1.55	0.085
ROEV	MC127651	1480	0.9	0.026
SAIA	MC087511	1450	5	0.14
SCNN	MC264184	1075	16.5	0.46
SEFL	MC111871	1650	3.2	0.06
SLHO	MC222741	1640	5.9	0.086
SUAH	MC525652	1480	10.9	0.086
SWFT	MC136818	1570	2	0.0115
TAMI	MC197897	1540	2.2	0.055
TDED	MC115730	1670	5	0.2435
TNXL	MC153367	1700	6.55	0.195
"TSUH,TTOS"	MC116077	1700	1.55	0.015
ULSV	MC371555	1830	13.5	0.525
UPSF	MCN/A	1830	8.5	0.525
URDS	MC343084	2032.5	9.05	0.33
USXI	MC188121	1560	0.9	0.006
WAGP	MC026396	1800	9.05	0.415
"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	MC13828	1480	0.9	0.026
WHTN	MC87113	1550	13	0.42
WSXI	MC260323	1700	1.55	0.015
XPOL	MC175953	2250	23.5	1.025
