Rank 2018	Rank 2017	Company	Revenue(000)	Net income(000)	Employees	Tractors	Trailers
1	1	UPS Inc.	"65,872,000"	"4,910,000"	"454,000"	"18,683"	"97,746"
2	2	FedEx Corp.	"63,864,000"	"4,465,000"	"425,000"	"29,873"	"113,218"
3	3	XPO Logistics	"15,380,800"	"312,400"	"95,000"	"16,287"	"27,591"
4	4	J.B. Hunt Transport Services Inc.	"7,189,568"	"385,308"	"27,670"	"14,392"	"32,931"
5	30	Knight-Swift Transportation Holdings	"5,136,261"	"529,922"	"25,400"	"23,069"	"74,949"
6	5	YRC Worldwide	"4,891,000"	"-10,800"	"32,000"	"14,100"	"44,600"
7	6	Schneider	"4,383,600"	"389,900"	"19,600"	"11,859"	"37,637"
8	9	Hub Group	"4,034,897"	"135,153"	"4,377"	"3,520"	"5,850"
9	10	TFI International	"3,906,575"	"130,181"	"17,044"	"16,132"	"24,617"
10	9	Landstar System	"3,646,364"	"177,088"	"1,273"	"9,438"	"15,534"
11	11	Old Dominion Freight Line Inc.	"3,358,112"	"463,774"	"20,944"	"8,316"	"32,890"
12	13	Ryder Supply Chain Solutions	"3,065,500"	"158,400"	-	-	-
13	12	ArcBest	"2,826,457"	"59,726"	"13,000"	"4,436"	"22,275"
14	14	Estes Express Lines	"2,740,000"	-	"17,397"	"6,695"	"27,443"
15	16	Werner Enterprises Inc.	"2,116,737"	"92,000"	"12,154"	"7,480"	"24,500"
16	15	Roadrunner Transportation Systems Inc.	"2,091,300"	"-91,200"	"4,600"	"3,625"	"6,920"
17	27	NFI	"1,910,000"	-	"10,000"	"4,000"	"8,900"
18	18	Prime Inc.	"1,875,031"	"208,184"	"4,300"	"6,296"	"12,753"
19	21	Penske Logistics	"1,700,000"	-	"18,011"	"2,935"	"9,108"
19	17	UniGroup Inc.	"1,700,000"	-	-	-	-
21	21	U.S. Xpress Enterprises	"1,600,000"	-	"9,522"	"6,600"	"16,800"
22	24	R+L Carriers	"1,580,000"	-	-	"5,084"	"15,675"
23	19	CRST International	"1,555,000"	-	"7,538"	"5,774"	"12,145"
