Company	Revenue	SCAC	Year	g.mile.CO2	g.mile.NOx	g.mile.PM	index
A. Duie Pyle Cos.	205000	PYLE	2009	1650	5	0.14	1
A. Duie Pyle Cos.	234000	PYLE	2010	1650	5	0.14	2
A. Duie Pyle Cos.	270000	PYLE	2011	1650	5	0.14	3
A. Duie Pyle Cos.	286000	PYLE	2012	1650	5	0.14	4
A. Duie Pyle Cos.	293000	PYLE	2013	1650	5	0.14	5
A. Duie Pyle Cos.	346000	PYLE	2017	1650	5	0.14	6
A. Duie Pyle Cos.	373000	PYLE	2018	1650	5	0.14	7
A&R Logistics	185000	ANRI	2009	2125	5.75	0.22	1
A&R Logistics	212000	ANRI	2010	2125	5.75	0.22	2
A&R Logistics	214000	ANRI	2011	2125	5.75	0.22	3
A&R Logistics	235000	ANRI	2012	2125	5.75	0.22	4
A&R Logistics	220000	ANRI	2013	2125	5.75	0.22	5
A&R Logistics	222000	ANRI	2014	2125	5.75	0.22	6
A&R Logistics	229258	ANRI	2017	2125	5.75	0.22	7
A&R Logistics	259370	ANRI	2018	2125	5.75	0.22	8
AAA Cooper Transportation	420000	AACT	2009	1550	6.8	0.3	1
AAA Cooper Transportation	522000	AACT	2011	1550	6.8	0.3	2
AAA Cooper Transportation	553408	AACT	2012	1550	6.8	0.3	3
AAA Cooper Transportation	580372	AACT	2013	1550	6.8	0.3	4
AAA Cooper Transportation	580372	AACT	2014	1550	6.8	0.3	5
AAA Cooper Transportation	605538	AACT	2017	1550	6.8	0.3	6
AAA Cooper Transportation	665000	AACT	2018	1550	6.8	0.3	7
Acme Truck Line Inc.	214975	ATEQ	2010	1570	11	0.3905	1
Acme Truck Line Inc.	325000	ATEQ	2011	1570	11	0.3905	2
Acme Truck Line Inc.	372739	ATEQ	2012	1570	11	0.3905	3
Acme Truck Line Inc.	356157	ATEQ	2013	1570	11	0.3905	4
Acme Truck Line Inc.	487208	ATEQ	2014	1570	11	0.3905	5
Acme Truck Line Inc.	239000	ATEQ	2018	1570	11	0.3905	6
Anderson Trucking Service	569692	ANNN	2009	1840	5.8	0.055	1
Anderson Trucking Service	611521	ANNN	2010	1840	5.8	0.055	2
Anderson Trucking Service	762143	ANNN	2011	1840	5.8	0.055	3
Anderson Trucking Service	927406	ANNN	2012	1840	5.8	0.055	4
Anderson Trucking Service	750204	ANNN	2013	1840	5.8	0.055	5
Anderson Trucking Service	873432	ANNN	2014	1840	5.8	0.055	6
Anderson Trucking Service	1032144	ANNN	2017	1840	5.8	0.055	7
Anderson Trucking Service	1004301	ANNN	2018	1840	5.8	0.055	8
ArcBest	2700219	KNIG,KTMW,KNBK,KNIB,KNIM,KTPS	2017	1480	3.4	0.006	1
ArcBest	2826457	KNIG,KTMW,KNBK,KNIB,KNIM,KTPS	2018	1480	3.4	0.006	2
Arnold Transportation Services	237000	ANTT	2013	1640	3.4	0.006	1
Atlas World Group	715000	ALQK	2009	1670	14	0.3905	1
Atlas World Group	759998	ALQK	2010	1670	14	0.3905	2
Atlas World Group	808935	ALQK	2011	1670	14	0.3905	3
Atlas World Group	815518	ALQK	2012	1670	14	0.3905	4
Atlas World Group	844827	ALQK	2013	1670	14	0.3905	5
Atlas World Group	878313	ALQK	2014	1670	14	0.3905	6
Atlas World Group	795239	ALQK	2017	1670	14	0.3905	7
Atlas World Group	842100	ALQK	2018	1670	14	0.3905	8
Averitt Express	768348	AVRT	2009	1600	1.55	0.085	1
Averitt Express	824000	AVRT	2010	1600	1.55	0.085	2
Averitt Express	922000	AVRT	2011	1600	1.55	0.085	3
Averitt Express	961560	AVRT	2012	1600	1.55	0.085	4
Averitt Express	1020000	AVRT	2013	1600	1.55	0.085	5
Averitt Express	1078000	AVRT	2014	1600	1.55	0.085	6
Averitt Express	1091475	AVRT	2017	1600	1.55	0.085	7
Averitt Express	1146970	AVRT	2018	1600	1.55	0.085	8
Bennett International Group	206477	BGME	2009	1670	5	0.0965	1
Bennett International Group	221208	BGME	2010	1670	5	0.0965	2
Bennett International Group	249514	BGME	2011	1670	5	0.0965	3
Bennett International Group	266349	BGME	2012	1670	5	0.0965	4
Bennett International Group	327857	BGME	2013	1670	5	0.0965	5
Bennett International Group	436024	BGME	2014	1670	5	0.0965	6
Bennett International Group	429616	BGME	2017	1670	5	0.0965	7
Bennett International Group	512874	BGME	2018	1670	5	0.0965	8
Bison Transport	291121	BIOS	2010	1480	0.9	0.026	1
Bison Transport	375253	BIOS	2011	1480	0.9	0.026	2
Bison Transport	391156	BIOS	2012	1480	0.9	0.026	3
Bison Transport	485484	BIOS	2013	1480	0.9	0.026	4
Bison Transport	489568	BIOS	2014	1480	0.9	0.026	5
Bison Transport	432084	BIOS	2017	1480	0.9	0.026	6
Bison Transport	472004	BIOS	2018	1480	0.9	0.026	7
Brown Integrated Logistics	218012	BRWH	2012	1540	4.6	0.085	1
Brown Integrated Logistics	218779	BRWH	2013	1540	4.6	0.085	2
Brown Integrated Logistics	224655	BRWH	2014	1540	4.6	0.085	3
C.R. England Inc.	919092	ENGI	2009	1225	18.5	0.5	1
C.R. England Inc.	934669	ENGI	2010	1225	18.5	0.5	2
C.R. England Inc.	1079716	ENGI	2011	1225	18.5	0.5	3
C.R. England Inc.	1416806	ENGI	2012	1225	18.5	0.5	4
C.R. England Inc.	1495597	ENGI	2013	1225	18.5	0.5	5
C.R. England Inc.	1517290	ENGI	2014	1225	18.5	0.5	6
C.R. England Inc.	1304898	ENGI	2017	1225	18.5	0.5	7
C.R. England Inc.	1405411	ENGI	2018	1225	18.5	0.5	8
California Cartage Co.	311000	CCXP	2012	1565	16.5	0.73	1
California Cartage Co.	318000	CCXP	2013	1565	16.5	0.73	2
California Cartage Co.	368700	CCXP	2014	1565	16.5	0.73	3
California Cartage Co.	440000	CCXP	2017	1565	16.5	0.73	4
Canada Cartage System	350520	CACG	2009	1900	6.55	0.195	1
Canada Cartage System	470645	CACG	2010	1900	6.55	0.195	2
Canada Cartage System	539830	CACG	2011	1900	6.55	0.195	3
Canada Cartage System	543820	CACG	2012	1900	6.55	0.195	4
Canada Cartage System	541800	CACG	2013	1900	6.55	0.195	5
Canada Cartage System	516976	CACG	2014	1900	6.55	0.195	6
Canada Cartage System	452728	CACG	2017	1900	6.55	0.195	7
Canada Cartage System	546309	CACG	2018	1900	6.55	0.195	8
Cardinal Logistics management	257000	CHWK	2009	1480	3.4	0.086	1
Cardinal Logistics management	274100	CHWK	2010	1480	3.4	0.086	2
Cardinal Logistics management	850000	CHWK	2012	1480	3.4	0.086	3
Cardinal Logistics management	1000600	CHWK	2017	1480	3.4	0.086	4
Cardinal Logistics management	720000	CHWK	2018	1480	3.4	0.086	5
Cassens Transport	238358	CASF	2011	1957.5	14.45	0.45	1
Cassens Transport	283775	CASF	2012	1957.5	14.45	0.45	2
Cassens Transport	289794	CASF	2013	1957.5	14.45	0.45	3
Cassens Transport	328649	CASF	2014	1957.5	14.45	0.45	4
Cassens Transport	317557	CASF	2017	1957.5	14.45	0.45	5
Cassens Transport	302004	CASF	2018	1957.5	14.45	0.45	6
Central Freight Lines	207000	CENT	2009	1450	5	0.06	1
Central Freight Lines	211067	CENT	2010	1450	5	0.06	2
Central Freight Lines	209000	CENT	2011	1450	5	0.06	3
Central Freight Lines	214000	CENT	2014	1450	5	0.06	4
Central Freight Lines	347800	CENT	2017	1450	5	0.06	5
Central Freight Lines	266000	CENT	2018	1450	5	0.06	6
Central Transport International	703000	CTII	2017	1750	3.2	0.06	1
Central Transport International	754000	CTII	2018	1750	3.2	0.06	2
Challenger Group	285674	CGFR	2009	1600	1.55	0.015	1
Challenger Group	321876	CGFR	2010	1600	1.55	0.015	2
Challenger Group	334503	CGFR	2011	1600	1.55	0.015	3
Challenger Group	340351	CGFR	2012	1600	1.55	0.015	4
Challenger Group	325502	CGFR	2013	1600	1.55	0.015	5
Challenger Group	300130	CGFR	2014	1600	1.55	0.015	6
Challenger Group	258006	CGFR	2017	1600	1.55	0.015	7
Challenger Group	258734	CGFR	2018	1600	1.55	0.015	8
Contrans Group	327374	BCFG	2009	1970	5	0.0965	1
Contrans Group	347918	BCFG	2010	1970	5	0.0965	2
Contrans Group	382143	BCFG	2011	1970	5	0.0965	3
Contrans Group	522429	BCFG	2012	1970	5	0.0965	4
Contrans Group	555715	BCFG	2013	1970	5	0.0965	5
Conway Inc	4269239	CNWY	2009	1550	5	0.14	1
Conway Inc	4952000	CNWY	2010	1550	5	0.14	2
Conway Inc	5289953	CNWY	2011	1550	5	0.14	3
Conway Inc	5580247	CNWY	2012	1550	5	0.14	4
Conway Inc	5473356	CNWY	2013	1550	5	0.14	5
Conway Inc	5806069	CNWY	2014	1550	5	0.14	6
Covenant Transportation Group	588687	CVTH	2009	2250	18.5	0.775	1
Covenant Transportation Group	649749	CVTH	2010	2250	18.5	0.775	2
Covenant Transportation Group	652627	CVTH	2011	2250	18.5	0.775	3
Covenant Transportation Group	674254	CVTH	2012	2250	18.5	0.775	4
Covenant Transportation Group	684549	CVTH	2013	2250	18.5	0.775	5
Covenant Transportation Group	718980	CVTH	2014	2250	18.5	0.775	6
Covenant Transportation Group	670651	CVTH	2017	2250	18.5	0.775	7
Covenant Transportation Group	705007	CVTH	2018	2250	18.5	0.775	8
Cowan Systems	199668	CWAS	2009	1560	0.9	0.006	1
Cowan Systems	230321	CWAS	2010	1560	0.9	0.006	2
Cowan Systems	279044	CWAS	2011	1560	0.9	0.006	3
Cowan Systems	315325	CWAS	2012	1560	0.9	0.006	4
Cowan Systems	377428	CWAS	2013	1560	0.9	0.006	5
Cowan Systems	421515	CWAS	2014	1560	0.9	0.006	6
Cowan Systems	434018	CWAS	2017	1560	0.9	0.006	7
Cowan Systems	462544	CWAS	2018	1560	0.9	0.006	8
