Company	SCAC	AverageRevenue	g.mile.CO2	g.mile.NOx	g.mile.PM
A. Duie Pyle Cos.	PYLE	286714.285714286	1650	5	0.14
A&R Logistics	ANRI	222078.5	2125	5.75	0.22
AAA Cooper Transportation	AACT	560955.714285714	1550	6.8	0.3
Acme Truck Line Inc.	ATEQ	332513.166666667	1570	11	0.3905
Anderson Trucking Service	ANNN	816355.375	1840	5.8	0.055
ArcBest	KNIG,KTMW,KNBK,KNIB,KNIM,KTPS	2763338	1480	3.4	0.006
Arnold Transportation Services	ANTT	237000	1640	3.4	0.006
Atlas World Group	ALQK	807491.25	1670	14	0.3905
Averitt Express	AVRT	976544.125	1600	1.55	0.085
Bennett International Group	BGME	331239.875	1670	5	0.0965
Bison Transport	BIOS	419524.285714286	1480	0.9	0.026
Brown Integrated Logistics	BRWH	220482	1540	4.6	0.085
C.R. England Inc.	ENGI	1259184.875	1225	18.5	0.5
California Cartage Co.	CCXP	359425	1565	16.5	0.73
Canada Cartage System	CACG	492388.444444444	1900	6.55	0.195
Cardinal Logistics management	CHWK	620340	1480	3.4	0.086
Cassens Transport	CASF	293356.166666667	1957.5	14.45	0.45
Central Freight Lines	CENT	242477.833333333	1450	5	0.06
Central Transport International	CTII	728500	1750	3.2	0.06
Challenger Group	CGFR	303097	1600	1.55	0.015
Contrans Group	BCFG	427115.8	1970	5	0.0965
Conway Inc	CNWY	5228477.33333333	1550	5	0.14
Covenant Transportation Group	CVTH	668063	2250	18.5	0.775
Cowan Systems	CWAS	339982.875	1560	0.9	0.006
Crete Carrier Corp.	CRCR	984900.375	1480	3.4	0.006
CRST International	CRFR	1221953.5	1500	1.55	0.015
Dart Transit Co.	DART,DARN,DARD	451824.125	1560	3.4	0.026
Dayton Freight Lines Inc.	DAFG	379658.75	1650	5	0.14
DHL USA 	DMAL	6586872	1620	8.5	0.275
Dicom Transportation Group	GOGI	290758	1750	1.4	0.06
Dynamex Inc	DYXW	301924	1620	8.5	0.275
Epes Carriers Inc.	EPES	305069.5	1480	3.4	0.046
Estes Express Lines	EXLA	1761955.375	1600	6.55	0.195
Evans Network of Cos.	EVTW	385413.5	2040	18.5	0.775
Falcon Transport Co.	FCNW	217510	1640	4.6	0.115
